,name,field,participants,reward
0,제주 특산물 가격 예측 AI 경진대회 - DACON,    알고리즘 | 정형 | 회귀 | 시계열 | 농업 | RMSE | 정성평가  ,627명,400만원
1,제1회 국민대학교 AI빅데이터 분석 경진대회 - DACON,    알고리즘 | 정형 | 추천시스템 | Recall  ,841명,400만원
